#漢字	音標	解釋
多	tou44	多：多少，多数
畜	ʃuk031	畜：畜牲
蟲	tʃʰuŋ22	虫：虫子，蛀虫
仲	tʃʰuŋ51	仲：杜仲，人名
逐	tʃʰuk033	逐：逐字，驱逐
軸	tʃʰuk033	轴：轴承
崇	tsʰuŋ22	崇：崇高，推崇
縮	suk031	缩：紧缩，缩小
終	tʃuŋ44	终：终于，送终
衆	tʃuŋ51	众：群众，众多
粥	tʃuk031	粥：煮粥
祝	tʃuk031	祝：祝贺，庆祝
充	tʃʰuŋ44	充：充分，冒充
銃	tʃʰuŋ51	铳：打麻将放铳，打鸟的土枪
叔	ʃuk031	叔：叔叔
淑	ʃuk031	淑：贤淑，淑女
熟	ʃuk033	熟：生熟，熟悉
絨	ʒuŋ22	绒：绒线，灯心绒
戎	ʒuŋ22	戎：戎马
肉	ȵiuk031	肉：吃肉，肉体
弓	kiuŋ44	弓：弓箭，背弓起
躬	kiuŋ44	躬：鞠躬，躬亲
宮	kiuŋ44	宫：宫殿，天宫
菊	kʰiuk031	菊：菊花
鞠	kʰiuk031	鞠：鞠躬
麴	kʰiuk031	麴：酒曲，大曲
窮	kʰiuŋ22	穷：穷人，贫穷
嗅	tʃʰiu51	嗅：闻
蓄	ʃuk031	蓄：储蓄，蓄水
畜	ʃuk031	畜：畜牧
郁	ʒuk031	郁：姓，忧郁
熊	ʃuŋ22	熊：狗熊，熊猫
雄	ʃuŋ22	雄：英雄，鸡雄
融	ʒuŋ22	融：孔融，融化
封	fuŋ44	封：封山，开封
蜂	pʰuŋ44	蜂：蜂蜜，蜜蜂
峯	fuŋ44	峰：山峰
鋒	fuŋ44	锋：锋利，刀锋
捧	puŋ31	捧：捧走，吹捧
逢	fuŋ22	逢：相逢，逢年过节
縫	fuŋ22	缝：缝衣服，裁缝
奉	fuŋ51	奉：奉献，朝奉，奉承
縫	pʰuŋ51	缝：一条缝
俸	fuŋ51	俸：俸禄
濃	luŋ22	浓：浓淡，浓厚
龍	liuŋ22	龙：属龙，龙头
壟	luŋ31	垄：垄断
隴	luŋ31	陇：山陇
錄	liut033	录：记录，录取
縱	tsuŋ31	纵：纵横
蹤	tsuŋ44	踪：踪迹，追踪
縱	tsiuŋ31	纵：放纵，跳
足	tsiuk031	足：满足，足球
從	tsʰiuŋ22	从：从容
促	tsʰuk031	促：督促，促进
從	tsʰiuŋ22	从：跟从，从来
慫	tsuŋ31	怂：怂恿
粟	siuk031	粟：小米，玉米
松	tsʰiuŋ22	松：松香，松树
誦	suŋ51	诵：朗诵，背诵
頌	suŋ51	颂：歌颂，颂扬
訟	suŋ51	讼：讼师，诉讼
俗	siuk033	俗：风俗习惯，还俗，俗气
續	siuk033	续：继续，续集
寵	tʃʰuŋ31	宠：宠爱，得宠
重	tʃʰuŋ51	重：重复，重九
重	tʃʰuŋ51	重：轻重，重量
鐘	tʃuŋ44	钟：敲钟
鍾	tʃuŋ44	钟：千钟粟
盅	tʃuŋ44	盅：酒盅
種	tʃuŋ51	种：种类，谷种
腫	tʃuk031	肿：肿起，臃肿
種	tʃuŋ51	种：种田
燭	tʃuk031	烛：蜡烛
囑	tʃuk031	嘱：嘱咐，遗嘱
衝	tʃʰuŋ44	冲：冲锋
觸	tsʰuk031	触：接触，触犯
贖	ʃuk033	赎：赎罪
舂	tʃuŋ44	舂：舂米
束	tsʰuk031	束：束缚，装束
蜀	tʃuk031	蜀：蜀国
屬	ʃuk033	属：属于，家属
茸	ʒuŋ22	茸：鹿茸
辱	ʒuk033	辱：侮辱
褥	ʒuk033	褥：垫被，褥子
恭	kiuŋ22	恭：恭敬，恭贺
供	kiuŋ22	供：供給，供应，供不起
龔	kuŋ31	龚：姓
拱	kiuŋ31	拱：拱手，打拱
鞏	kiuŋ31	巩：巩固
供	kiuŋ51	供：上供，供佛，坐着别动（骂小孩子用）
恐	kʰiuŋ31	恐：恐怕，惊恐
曲	kʰiut031	曲：歌曲，曲折
共	kʰiuŋ51	共：相同，一样，共产党
局	kʰiuk033	局：局部，邮电局
玉	ȵiuk033	玉：一块玉，玉器
獄	ȵiuk033	狱：牢狱之灾，监狱
胸	ʃiuŋ44	胸：胸口，心胸
兇	ʃiuŋ44	凶：凶恶，很凶
凶	ʃiuŋ44	凶：吉凶
匈	ʃiuŋ44	匈：匈奴，匈牙利
雍	ʒuŋ44	雍：雍正
癰	ʒuŋ44	痈：恶性脓疮
臃	ʒuŋ44	臃：臃肿
擁	ʒuk031	拥：拥护
壅	ʒuk031	壅：施肥
容	ʒuŋ22	容：容易，宽容
溶	ʒuŋ22	溶：溶化
蓉	ʒuŋ22	蓉：芙蓉
庸	ʒuŋ44	庸：平庸，庸俗
熔	ʒuŋ22	熔：熔化
勇	ʒuŋ31	勇：勇敢，勇猛
涌	ʒuŋ31	涌：涌现，喷涌
恿	ʒuŋ31	恿：怂恿
踊	ʒuŋ31	踊：踊跃
甬	ʒuŋ31	甬：甬道，宁波
浴	ʒuk033	浴：洗浴，沐浴
欲	ʒuk033	欲：欲速则不达
慾	ʒuk033	欲：欲望，贪欲
選	pʰat033	选拔
更	kaŋ44	三更
卜	puk031	占卜
